Duration_sec,Rate_flows_sec,Error_Threshold_pct,Sampling_Ratio_pct,S_Queue,S_Hop,S_Egress
120,0.73,6.0,7.96,3,2,1
120,0.73,7.0,5.31,2,2,1
120,0.73,8.0,5.31,1,2,1
120,0.75,2.0,20.69,8,1,4
120,0.75,3.0,10.34,11,1,3
120,0.75,4.0,10.34,7,1,2
120,0.75,5.0,7.76,5,1,2
120,0.75,6.0,7.76,3,1,1
120,0.75,7.0,5.17,3,1,1
120,0.75,8.0,0.51,1,11,11
120,0.77,2.0,31.89,4,4,1
120,0.77,3.0,14.61,5,3,1
120,0.77,4.0,9.3,6,2,1
120,0.77,5.0,5.31,7,3,1
120,0.77,6.0,3.99,6,2,1
120,0.77,7.0,2.66,6,2,1
120,0.77,8.0,2.66,4,2,1
120,0.79,2.0,33.62,4,3,1
120,0.79,3.0,15.41,7,4,1
120,0.79,4.0,9.81,7,3,1
120,0.79,5.0,5.6,9,3,1
120,0.79,6.0,4.2,8,3,1
120,0.79,7.0,2.8,8,3,1
120,0.79,8.0,2.8,5,2,1
120,0.81,2.0,64.04,3,3,1
120,0.81,3.0,29.35,5,3,1
120,0.81,4.0,18.68,4,3,1
120,0.81,5.0,10.67,2,3,1
120,0.81,6.0,0.52,1,26,16
120,0.81,7.0,0.52,1,16,11
120,0.81,8.0,0.52,1,11,11
120,0.83,2.0,38.17,4,2,1
120,0.83,3.0,17.5,5,2,1
120,0.83,4.0,11.13,6,2,1
120,0.83,5.0,6.36,6,2,1
120,0.83,6.0,4.77,5,2,1
120,0.83,7.0,3.18,4,2,1
120,0.83,8.0,0.31,1,11,11
120,0.85,2.0,46.55,4,2,1
120,0.85,3.0,21.34,6,2,1
120,0.85,4.0,11.64,6,1,2
120,0.85,5.0,5.82,6,1,2
120,0.85,6.0,3.88,3,1,2
120,0.85,7.0,0.38,1,11,11
120,0.85,8.0,0.38,1,11,11
120,0.87,2.0,34.83,4,1,2
120,0.87,3.0,18.24,6,2,1
120,0.87,4.0,11.61,5,2,1
120,0.87,5.0,6.63,6,3,1
120,0.87,6.0,0.32,1,31,16
120,0.87,7.0,0.32,1,26,11
120,0.87,8.0,0.32,1,21,11
120,0.89,2.0,28.43,4,2,1
120,0.89,3.0,13.03,7,2,1
120,0.89,4.0,8.29,9,2,1
120,0.89,5.0,4.74,9,2,1
120,0.89,6.0,3.55,3,2,1
120,0.89,7.0,0.23,1,26,11
120,0.89,8.0,0.23,1,21,11
120,0.91,2.0,30.21,4,2,1
120,0.91,3.0,13.84,5,3,1
120,0.91,4.0,8.81,4,3,1
120,0.91,5.0,5.03,2,3,1
120,0.91,6.0,0.25,1,41,16
120,0.91,7.0,0.25,1,26,11
120,0.91,8.0,0.25,1,16,11
120,0.93,2.0,28.74,4,4,1
120,0.93,3.0,13.17,7,7,1
120,0.93,4.0,8.38,8,8,1
120,0.93,5.0,4.79,9,7,1
120,0.93,6.0,3.59,8,4,1
120,0.93,7.0,2.39,7,3,1
120,0.93,8.0,2.39,6,2,1
120,0.95,2.0,28.79,4,3,1
120,0.95,3.0,13.2,6,2,1
120,0.95,4.0,8.4,8,2,1
120,0.95,5.0,4.8,10,2,1
120,0.95,6.0,3.6,10,2,1
120,0.95,7.0,2.4,11,2,1
120,0.95,8.0,2.4,8,2,1
120,0.97,2.0,26.48,4,2,1
120,0.97,3.0,12.14,8,2,1
120,0.97,4.0,7.72,9,2,1
120,0.97,5.0,4.41,13,2,1
120,0.97,6.0,3.31,9,2,1
120,0.97,7.0,2.21,9,2,1
120,0.97,8.0,2.21,6,2,1
120,0.99,2.0,44.19,4,2,1
120,0.99,3.0,20.25,6,3,1
120,0.99,4.0,12.89,6,2,1
120,0.99,5.0,7.37,7,1,1
120,0.99,6.0,5.52,5,1,1
120,0.99,7.0,3.68,4,1,1
120,0.99,8.0,3.68,3,1,1
180,0.01,2.0,27.75,1,195,123
180,0.01,3.0,27.75,1,98,57
180,0.01,4.0,27.75,1,1,36
180,0.01,5.0,27.75,1,1,21
180,0.01,6.0,27.75,1,1,16
